"","from","to","restaurants_overLap","width","title"
"80","AL","NV",289,2.89,"289 days shared in 2020"
"81","AL","NY",263,2.63,"263 days shared in 2020"
"82","AL","OH",284,2.84,"284 days shared in 2020"
"83","AL","OK",276,2.76,"276 days shared in 2020"
"84","AL","OR",271,2.71,"271 days shared in 2020"
"85","AL","PA",267,2.67,"267 days shared in 2020"
"86","AL","RI",288,2.88,"288 days shared in 2020"
"87","AL","SC",284,2.84,"284 days shared in 2020"
"88","AL","SD",4,0.04,"4 days shared in 2020"
"89","AL","TN",39,0.39,"39 days shared in 2020"
"90","AL","TX",281,2.81,"281 days shared in 2020"
"91","AL","UT",281,2.81,"281 days shared in 2020"
"92","AL","VA",280,2.8,"280 days shared in 2020"
"93","AL","VT",278,2.78,"278 days shared in 2020"
"94","AL","WA",277,2.77,"277 days shared in 2020"
"95","AL","WI",54,0.54,"54 days shared in 2020"
"96","AL","WV",284,2.84,"284 days shared in 2020"
"97","AL","WY",288,2.88,"288 days shared in 2020"
"98","AR","AZ",292,2.92,"292 days shared in 2020"
"99","AR","CA",260,2.6,"260 days shared in 2020"
"100","AR","CO",273,2.73,"273 days shared in 2020"
"101","AR","CT",279,2.79,"279 days shared in 2020"
"102","AR","DE",277,2.77,"277 days shared in 2020"
"103","AR","FL",184,1.84,"184 days shared in 2020"
"104","AR","GA",264,2.64,"264 days shared in 2020"
"105","AR","HI",268,2.68,"268 days shared in 2020"
"106","AR","IA",279,2.79,"279 days shared in 2020"
"107","AR","ID",282,2.82,"282 days shared in 2020"
"108","AR","IL",270,2.7,"270 days shared in 2020"
"109","AR","IN",288,2.88,"288 days shared in 2020"
"110","AR","KS",52,0.52,"52 days shared in 2020"
"111","AR","KY",277,2.77,"277 days shared in 2020"
"112","AR","LA",285,2.85,"285 days shared in 2020"
"113","AR","MA",260,2.6,"260 days shared in 2020"
"114","AR","MD",265,2.65,"265 days shared in 2020"
"115","AR","ME",283,2.83,"283 days shared in 2020"
"116","AR","MI",257,2.57,"257 days shared in 2020"
"117","AR","MN",232,2.32,"232 days shared in 2020"
"118","AR","MO",83,0.83,"83 days shared in 2020"
"119","AR","MS",277,2.77,"277 days shared in 2020"
"120","AR","MT",285,2.85,"285 days shared in 2020"
"121","AR","NC",278,2.78,"278 days shared in 2020"
"122","AR","ND",104,1.04,"104 days shared in 2020"
"123","AR","NE",228,2.28,"228 days shared in 2020"
"124","AR","NH",281,2.81,"281 days shared in 2020"
"125","AR","NJ",256,2.56,"256 days shared in 2020"
"126","AR","NM",256,2.56,"256 days shared in 2020"
"127","AR","NV",290,2.9,"290 days shared in 2020"
"128","AR","NY",262,2.62,"262 days shared in 2020"
"129","AR","OH",283,2.83,"283 days shared in 2020"
"130","AR","OK",277,2.77,"277 days shared in 2020"
"131","AR","OR",270,2.7,"270 days shared in 2020"
"132","AR","PA",266,2.66,"266 days shared in 2020"
"133","AR","RI",287,2.87,"287 days shared in 2020"
"134","AR","SC",283,2.83,"283 days shared in 2020"
"135","AR","SD",5,0.05,"5 days shared in 2020"
"136","AR","TN",40,0.4,"40 days shared in 2020"
"137","AR","TX",282,2.82,"282 days shared in 2020"
"138","AR","UT",280,2.8,"280 days shared in 2020"
"139","AR","VA",280,2.8,"280 days shared in 2020"
"140","AR","VT",277,2.77,"277 days shared in 2020"
"141","AR","WA",276,2.76,"276 days shared in 2020"
"142","AR","WI",53,0.53,"53 days shared in 2020"
"143","AR","WV",283,2.83,"283 days shared in 2020"
"144","AR","WY",287,2.87,"287 days shared in 2020"
"145","AZ","CA",260,2.6,"260 days shared in 2020"
"146","AZ","CO",273,2.73,"273 days shared in 2020"
"147","AZ","CT",279,2.79,"279 days shared in 2020"
"148","AZ","DE",277,2.77,"277 days shared in 2020"
"149","AZ","FL",184,1.84,"184 days shared in 2020"
"150","AZ","GA",264,2.64,"264 days shared in 2020"
"151","AZ","HI",268,2.68,"268 days shared in 2020"
"152","AZ","IA",279,2.79,"279 days shared in 2020"
"153","AZ","ID",282,2.82,"282 days shared in 2020"
"154","AZ","IL",270,2.7,"270 days shared in 2020"
"155","AZ","IN",288,2.88,"288 days shared in 2020"
"156","AZ","KS",52,0.52,"52 days shared in 2020"
"157","AZ","KY",277,2.77,"277 days shared in 2020"
"158","AZ","LA",285,2.85,"285 days shared in 2020"
"159","AZ","MA",260,2.6,"260 days shared in 2020"
"160","AZ","MD",265,2.65,"265 days shared in 2020"
"161","AZ","ME",283,2.83,"283 days shared in 2020"
"162","AZ","MI",257,2.57,"257 days shared in 2020"
"163","AZ","MN",232,2.32,"232 days shared in 2020"
"164","AZ","MO",83,0.83,"83 days shared in 2020"
"165","AZ","MS",277,2.77,"277 days shared in 2020"
"166","AZ","MT",285,2.85,"285 days shared in 2020"
"167","AZ","NC",278,2.78,"278 days shared in 2020"
"168","AZ","ND",104,1.04,"104 days shared in 2020"
"169","AZ","NE",228,2.28,"228 days shared in 2020"
"170","AZ","NH",281,2.81,"281 days shared in 2020"
"171","AZ","NJ",256,2.56,"256 days shared in 2020"
"172","AZ","NM",256,2.56,"256 days shared in 2020"
"173","AZ","NV",290,2.9,"290 days shared in 2020"
"174","AZ","NY",262,2.62,"262 days shared in 2020"
"175","AZ","OH",283,2.83,"283 days shared in 2020"
"176","AZ","OK",277,2.77,"277 days shared in 2020"
"177","AZ","OR",270,2.7,"270 days shared in 2020"
"178","AZ","PA",266,2.66,"266 days shared in 2020"
"179","AZ","RI",287,2.87,"287 days shared in 2020"
"180","AZ","SC",283,2.83,"283 days shared in 2020"
"181","AZ","SD",5,0.05,"5 days shared in 2020"
"182","AZ","TN",40,0.4,"40 days shared in 2020"
"183","AZ","TX",282,2.82,"282 days shared in 2020"
"184","AZ","UT",280,2.8,"280 days shared in 2020"
"185","AZ","VA",280,2.8,"280 days shared in 2020"
"186","AZ","VT",277,2.77,"277 days shared in 2020"
"187","AZ","WA",276,2.76,"276 days shared in 2020"
"188","AZ","WI",53,0.53,"53 days shared in 2020"
"189","AZ","WV",283,2.83,"283 days shared in 2020"
"190","AZ","WY",287,2.87,"287 days shared in 2020"
"191","CA","CO",261,2.61,"261 days shared in 2020"
"192","CA","CT",267,2.67,"267 days shared in 2020"
"193","CA","DE",265,2.65,"265 days shared in 2020"
"194","CA","FL",175,1.75,"175 days shared in 2020"
"195","CA","GA",232,2.32,"232 days shared in 2020"
"196","CA","HI",256,2.56,"256 days shared in 2020"
"197","CA","IA",249,2.49,"249 days shared in 2020"
"198","CA","ID",260,2.6,"260 days shared in 2020"
"199","CA","IL",258,2.58,"258 days shared in 2020"
"200","CA","IN",258,2.58,"258 days shared in 2020"
"201","CA","KS",43,0.43,"43 days shared in 2020"
"202","CA","KY",265,2.65,"265 days shared in 2020"
"203","CA","LA",263,2.63,"263 days shared in 2020"
"204","CA","MA",246,2.46,"246 days shared in 2020"
"205","CA","MD",253,2.53,"253 days shared in 2020"
"206","CA","ME",267,2.67,"267 days shared in 2020"
"207","CA","MI",245,2.45,"245 days shared in 2020"
"208","CA","MN",236,2.36,"236 days shared in 2020"
"209","CA","MO",73,0.73,"73 days shared in 2020"
"210","CA","MS",245,2.45,"245 days shared in 2020"
"211","CA","MT",253,2.53,"253 days shared in 2020"
"212","CA","NC",266,2.66,"266 days shared in 2020"
"213","CA","ND",72,0.72,"72 days shared in 2020"
"214","CA","NE",204,2.04,"204 days shared in 2020"
"215","CA","NH",265,2.65,"265 days shared in 2020"
"216","CA","NJ",242,2.42,"242 days shared in 2020"
"217","CA","NM",244,2.44,"244 days shared in 2020"
"218","CA","NV",258,2.58,"258 days shared in 2020"
"219","CA","NY",250,2.5,"250 days shared in 2020"
"220","CA","OH",261,2.61,"261 days shared in 2020"
"221","CA","OK",245,2.45,"245 days shared in 2020"
"222","CA","OR",248,2.48,"248 days shared in 2020"
"223","CA","PA",254,2.54,"254 days shared in 2020"
"224","CA","RI",257,2.57,"257 days shared in 2020"
"225","CA","SC",253,2.53,"253 days shared in 2020"
"226","CA","SD",4,0.04,"4 days shared in 2020"
"227","CA","TN",39,0.39,"39 days shared in 2020"
"228","CA","TX",250,2.5,"250 days shared in 2020"
"229","CA","UT",250,2.5,"250 days shared in 2020"
"230","CA","VA",257,2.57,"257 days shared in 2020"
"231","CA","VT",265,2.65,"265 days shared in 2020"
"232","CA","WA",264,2.64,"264 days shared in 2020"
"233","CA","WI",56,0.56,"56 days shared in 2020"
"234","CA","WV",253,2.53,"253 days shared in 2020"
"235","CA","WY",265,2.65,"265 days shared in 2020"
"236","CO","CT",284,2.84,"284 days shared in 2020"
"237","CO","DE",286,2.86,"286 days shared in 2020"
"238","CO","FL",168,1.68,"168 days shared in 2020"
"239","CO","GA",245,2.45,"245 days shared in 2020"
"240","CO","HI",287,2.87,"287 days shared in 2020"
"241","CO","IA",266,2.66,"266 days shared in 2020"
"242","CO","ID",273,2.73,"273 days shared in 2020"
"243","CO","IL",289,2.89,"289 days shared in 2020"
"244","CO","IN",275,2.75,"275 days shared in 2020"
"245","CO","KS",37,0.37,"37 days shared in 2020"
"246","CO","KY",286,2.86,"286 days shared in 2020"
"247","CO","LA",280,2.8,"280 days shared in 2020"
"248","CO","MA",273,2.73,"273 days shared in 2020"
"249","CO","MD",284,2.84,"284 days shared in 2020"
"250","CO","ME",282,2.82,"282 days shared in 2020"
"251","CO","MI",276,2.76,"276 days shared in 2020"
"252","CO","MN",251,2.51,"251 days shared in 2020"
"253","CO","MO",64,0.64,"64 days shared in 2020"
"254","CO","MS",258,2.58,"258 days shared in 2020"
"255","CO","MT",266,2.66,"266 days shared in 2020"
"256","CO","NC",287,2.87,"287 days shared in 2020"
"257","CO","ND",90,0.9,"90 days shared in 2020"
"258","CO","NE",209,2.09,"209 days shared in 2020"
"259","CO","NH",282,2.82,"282 days shared in 2020"
"260","CO","NJ",269,2.69,"269 days shared in 2020"
"261","CO","NM",273,2.73,"273 days shared in 2020"
"262","CO","NV",271,2.71,"271 days shared in 2020"
"263","CO","NY",281,2.81,"281 days shared in 2020"
"264","CO","OH",278,2.78,"278 days shared in 2020"
"265","CO","OK",258,2.58,"258 days shared in 2020"
"266","CO","OR",265,2.65,"265 days shared in 2020"
"267","CO","PA",281,2.81,"281 days shared in 2020"
"268","CO","RI",274,2.74,"274 days shared in 2020"
"269","CO","SC",268,2.68,"268 days shared in 2020"
"270","CO","SD",2,0.02,"2 days shared in 2020"
"271","CO","TN",37,0.37,"37 days shared in 2020"
"272","CO","TX",263,2.63,"263 days shared in 2020"
"273","CO","UT",265,2.65,"265 days shared in 2020"
"274","CO","VA",272,2.72,"272 days shared in 2020"
"275","CO","VT",286,2.86,"286 days shared in 2020"
"276","CO","WA",287,2.87,"287 days shared in 2020"
"277","CO","WI",58,0.58,"58 days shared in 2020"
"278","CO","WV",268,2.68,"268 days shared in 2020"
"279","CO","WY",278,2.78,"278 days shared in 2020"
"280","CT","DE",290,2.9,"290 days shared in 2020"
"281","CT","FL",174,1.74,"174 days shared in 2020"
"282","CT","GA",251,2.51,"251 days shared in 2020"
"283","CT","HI",279,2.79,"279 days shared in 2020"
"284","CT","IA",272,2.72,"272 days shared in 2020"
"285","CT","ID",279,2.79,"279 days shared in 2020"
"286","CT","IL",283,2.83,"283 days shared in 2020"
"287","CT","IN",283,2.83,"283 days shared in 2020"
"288","CT","KS",42,0.42,"42 days shared in 2020"
"289","CT","KY",290,2.9,"290 days shared in 2020"
"290","CT","LA",286,2.86,"286 days shared in 2020"
"291","CT","MA",265,2.65,"265 days shared in 2020"
"292","CT","MD",278,2.78,"278 days shared in 2020"
"293","CT","ME",288,2.88,"288 days shared in 2020"
"294","CT","MI",270,2.7,"270 days shared in 2020"
"295","CT","MN",243,2.43,"243 days shared in 2020"
"296","CT","MO",70,0.7,"70 days shared in 2020"
"297","CT","MS",264,2.64,"264 days shared in 2020"
"298","CT","MT",272,2.72,"272 days shared in 2020"
"299","CT","NC",289,2.89,"289 days shared in 2020"
"300","CT","ND",91,0.91,"91 days shared in 2020"
"301","CT","NE",215,2.15,"215 days shared in 2020"
"302","CT","NH",290,2.9,"290 days shared in 2020"
"303","CT","NJ",261,2.61,"261 days shared in 2020"
"304","CT","NM",266,2.66,"266 days shared in 2020"
"305","CT","NV",277,2.77,"277 days shared in 2020"
"306","CT","NY",275,2.75,"275 days shared in 2020"
"307","CT","OH",286,2.86,"286 days shared in 2020"
"308","CT","OK",264,2.64,"264 days shared in 2020"
"309","CT","OR",271,2.71,"271 days shared in 2020"
"310","CT","PA",273,2.73,"273 days shared in 2020"
"311","CT","RI",280,2.8,"280 days shared in 2020"
"312","CT","SC",274,2.74,"274 days shared in 2020"
"313","CT","SD",1,0.01,"1 days shared in 2020"
"314","CT","TN",36,0.36,"36 days shared in 2020"
"315","CT","TX",269,2.69,"269 days shared in 2020"
"316","CT","UT",271,2.71,"271 days shared in 2020"
"317","CT","VA",279,2.79,"279 days shared in 2020"
"318","CT","VT",289,2.89,"289 days shared in 2020"
"319","CT","WA",289,2.89,"289 days shared in 2020"
"320","CT","WI",58,0.58,"58 days shared in 2020"
"321","CT","WV",274,2.74,"274 days shared in 2020"
"322","CT","WY",284,2.84,"284 days shared in 2020"
"323","DE","FL",172,1.72,"172 days shared in 2020"
"324","DE","GA",249,2.49,"249 days shared in 2020"
"325","DE","HI",281,2.81,"281 days shared in 2020"
"326","DE","IA",270,2.7,"270 days shared in 2020"
"327","DE","ID",277,2.77,"277 days shared in 2020"
"328","DE","IL",285,2.85,"285 days shared in 2020"
"329","DE","IN",281,2.81,"281 days shared in 2020"
"330","DE","KS",40,0.4,"40 days shared in 2020"
"331","DE","KY",292,2.92,"292 days shared in 2020"
"332","DE","LA",284,2.84,"284 days shared in 2020"
"333","DE","MA",267,2.67,"267 days shared in 2020"
"334","DE","MD",280,2.8,"280 days shared in 2020"
"335","DE","ME",286,2.86,"286 days shared in 2020"
"336","DE","MI",272,2.72,"272 days shared in 2020"
"337","DE","MN",245,2.45,"245 days shared in 2020"
"338","DE","MO",68,0.68,"68 days shared in 2020"
"339","DE","MS",262,2.62,"262 days shared in 2020"
"340","DE","MT",270,2.7,"270 days shared in 2020"
"341","DE","NC",291,2.91,"291 days shared in 2020"
"342","DE","ND",89,0.89,"89 days shared in 2020"
"343","DE","NE",213,2.13,"213 days shared in 2020"
"344","DE","NH",288,2.88,"288 days shared in 2020"
"345","DE","NJ",263,2.63,"263 days shared in 2020"
"346","DE","NM",268,2.68,"268 days shared in 2020"
"347","DE","NV",275,2.75,"275 days shared in 2020"
"348","DE","NY",277,2.77,"277 days shared in 2020"
"349","DE","OH",284,2.84,"284 days shared in 2020"
"350","DE","OK",262,2.62,"262 days shared in 2020"
"351","DE","OR",269,2.69,"269 days shared in 2020"
"352","DE","PA",275,2.75,"275 days shared in 2020"
"353","DE","RI",278,2.78,"278 days shared in 2020"
"354","DE","SC",272,2.72,"272 days shared in 2020"
"355","DE","SD",1,0.01,"1 days shared in 2020"
"356","DE","TN",36,0.36,"36 days shared in 2020"
"357","DE","TX",267,2.67,"267 days shared in 2020"
"358","DE","UT",269,2.69,"269 days shared in 2020"
"359","DE","VA",277,2.77,"277 days shared in 2020"
"360","DE","VT",291,2.91,"291 days shared in 2020"
"361","DE","WA",291,2.91,"291 days shared in 2020"
"362","DE","WI",58,0.58,"58 days shared in 2020"
"363","DE","WV",272,2.72,"272 days shared in 2020"
"364","DE","WY",282,2.82,"282 days shared in 2020"
"365","FL","GA",170,1.7,"170 days shared in 2020"
"366","FL","HI",163,1.63,"163 days shared in 2020"
"367","FL","IA",188,1.88,"188 days shared in 2020"
"368","FL","ID",174,1.74,"174 days shared in 2020"
"369","FL","IL",165,1.65,"165 days shared in 2020"
"370","FL","IN",183,1.83,"183 days shared in 2020"
"371","FL","KS",160,1.6,"160 days shared in 2020"
"372","FL","KY",172,1.72,"172 days shared in 2020"
"373","FL","LA",180,1.8,"180 days shared in 2020"
"374","FL","MA",152,1.52,"152 days shared in 2020"
"375","FL","MD",160,1.6,"160 days shared in 2020"
"376","FL","ME",177,1.77,"177 days shared in 2020"
"377","FL","MI",158,1.58,"158 days shared in 2020"
"378","FL","MN",155,1.55,"155 days shared in 2020"
"379","FL","MO",185,1.85,"185 days shared in 2020"
"380","FL","MS",177,1.77,"177 days shared in 2020"
"381","FL","MT",191,1.91,"191 days shared in 2020"
"382","FL","NC",173,1.73,"173 days shared in 2020"
"383","FL","ND",114,1.14,"114 days shared in 2020"
"384","FL","NE",202,2.02,"202 days shared in 2020"
"385","FL","NH",176,1.76,"176 days shared in 2020"
"386","FL","NJ",148,1.48,"148 days shared in 2020"
"387","FL","NM",169,1.69,"169 days shared in 2020"
"388","FL","NV",186,1.86,"186 days shared in 2020"
"389","FL","NY",157,1.57,"157 days shared in 2020"
"390","FL","OH",178,1.78,"178 days shared in 2020"
"391","FL","OK",183,1.83,"183 days shared in 2020"
"392","FL","OR",180,1.8,"180 days shared in 2020"
"393","FL","PA",159,1.59,"159 days shared in 2020"
"394","FL","RI",186,1.86,"186 days shared in 2020"
"395","FL","SC",191,1.91,"191 days shared in 2020"
"396","FL","SD",100,1,"100 days shared in 2020"
"397","FL","TN",135,1.35,"135 days shared in 2020"
"398","FL","TX",188,1.88,"188 days shared in 2020"
"399","FL","UT",188,1.88,"188 days shared in 2020"
"400","FL","VA",178,1.78,"178 days shared in 2020"
"401","FL","VT",172,1.72,"172 days shared in 2020"
"402","FL","WA",171,1.71,"171 days shared in 2020"
"403","FL","WI",144,1.44,"144 days shared in 2020"
"404","FL","WV",191,1.91,"191 days shared in 2020"
"405","FL","WY",180,1.8,"180 days shared in 2020"
"406","GA","HI",240,2.4,"240 days shared in 2020"
"407","GA","IA",271,2.71,"271 days shared in 2020"
"408","GA","ID",263,2.63,"263 days shared in 2020"
"409","GA","IL",242,2.42,"242 days shared in 2020"
"410","GA","IN",260,2.6,"260 days shared in 2020"
"411","GA","KS",54,0.54,"54 days shared in 2020"
"412","GA","KY",249,2.49,"249 days shared in 2020"
"413","GA","LA",257,2.57,"257 days shared in 2020"
"414","GA","MA",240,2.4,"240 days shared in 2020"
"415","GA","MD",237,2.37,"237 days shared in 2020"
"416","GA","ME",255,2.55,"255 days shared in 2020"
"417","GA","MI",229,2.29,"229 days shared in 2020"
"418","GA","MN",204,2.04,"204 days shared in 2020"
"419","GA","MO",75,0.75,"75 days shared in 2020"
"420","GA","MS",279,2.79,"279 days shared in 2020"
"421","GA","MT",271,2.71,"271 days shared in 2020"
"422","GA","NC",250,2.5,"250 days shared in 2020"
"423","GA","ND",96,0.96,"96 days shared in 2020"
"424","GA","NE",230,2.3,"230 days shared in 2020"
"425","GA","NH",253,2.53,"253 days shared in 2020"
"426","GA","NJ",230,2.3,"230 days shared in 2020"
"427","GA","NM",228,2.28,"228 days shared in 2020"
"428","GA","NV",266,2.66,"266 days shared in 2020"
"429","GA","NY",234,2.34,"234 days shared in 2020"
"430","GA","OH",255,2.55,"255 days shared in 2020"
"431","GA","OK",278,2.78,"278 days shared in 2020"
"432","GA","OR",242,2.42,"242 days shared in 2020"
"433","GA","PA",238,2.38,"238 days shared in 2020"
"434","GA","RI",263,2.63,"263 days shared in 2020"
"435","GA","SC",269,2.69,"269 days shared in 2020"
"436","GA","SD",10,0.1,"10 days shared in 2020"
"437","GA","TN",32,0.32,"32 days shared in 2020"
"438","GA","TX",274,2.74,"274 days shared in 2020"
"439","GA","UT",272,2.72,"272 days shared in 2020"
"440","GA","VA",256,2.56,"256 days shared in 2020"
"441","GA","VT",249,2.49,"249 days shared in 2020"
"442","GA","WA",248,2.48,"248 days shared in 2020"
"443","GA","WI",25,0.25,"25 days shared in 2020"
"444","GA","WV",269,2.69,"269 days shared in 2020"
"445","GA","WY",259,2.59,"259 days shared in 2020"
"446","HI","IA",261,2.61,"261 days shared in 2020"
"447","HI","ID",268,2.68,"268 days shared in 2020"
"448","HI","IL",288,2.88,"288 days shared in 2020"
"449","HI","IN",270,2.7,"270 days shared in 2020"
"450","HI","KS",37,0.37,"37 days shared in 2020"
"451","HI","KY",281,2.81,"281 days shared in 2020"
"452","HI","LA",275,2.75,"275 days shared in 2020"
"453","HI","MA",278,2.78,"278 days shared in 2020"
"454","HI","MD",289,2.89,"289 days shared in 2020"
"455","HI","ME",277,2.77,"277 days shared in 2020"
"456","HI","MI",281,2.81,"281 days shared in 2020"
"457","HI","MN",256,2.56,"256 days shared in 2020"
"458","HI","MO",59,0.59,"59 days shared in 2020"
"459","HI","MS",253,2.53,"253 days shared in 2020"
"460","HI","MT",261,2.61,"261 days shared in 2020"
"461","HI","NC",282,2.82,"282 days shared in 2020"
"462","HI","ND",90,0.9,"90 days shared in 2020"
"463","HI","NE",204,2.04,"204 days shared in 2020"
"464","HI","NH",277,2.77,"277 days shared in 2020"
"465","HI","NJ",274,2.74,"274 days shared in 2020"
"466","HI","NM",268,2.68,"268 days shared in 2020"
"467","HI","NV",266,2.66,"266 days shared in 2020"
"468","HI","NY",286,2.86,"286 days shared in 2020"
"469","HI","OH",273,2.73,"273 days shared in 2020"
"470","HI","OK",253,2.53,"253 days shared in 2020"
"471","HI","OR",260,2.6,"260 days shared in 2020"
"472","HI","PA",286,2.86,"286 days shared in 2020"
"473","HI","RI",269,2.69,"269 days shared in 2020"
"474","HI","SC",263,2.63,"263 days shared in 2020"
"475","HI","SD",2,0.02,"2 days shared in 2020"
"476","HI","TN",37,0.37,"37 days shared in 2020"
"477","HI","TX",258,2.58,"258 days shared in 2020"
"478","HI","UT",260,2.6,"260 days shared in 2020"
"479","HI","VA",267,2.67,"267 days shared in 2020"
"480","HI","VT",281,2.81,"281 days shared in 2020"
"481","HI","WA",282,2.82,"282 days shared in 2020"
"482","HI","WI",58,0.58,"58 days shared in 2020"
"483","HI","WV",263,2.63,"263 days shared in 2020"
"484","HI","WY",273,2.73,"273 days shared in 2020"
"485","IA","ID",269,2.69,"269 days shared in 2020"
"486","IA","IL",263,2.63,"263 days shared in 2020"
"487","IA","IN",281,2.81,"281 days shared in 2020"
"488","IA","KS",56,0.56,"56 days shared in 2020"
"489","IA","KY",270,2.7,"270 days shared in 2020"
"490","IA","LA",278,2.78,"278 days shared in 2020"
"491","IA","MA",247,2.47,"247 days shared in 2020"
"492","IA","MD",258,2.58,"258 days shared in 2020"
"493","IA","ME",274,2.74,"274 days shared in 2020"
"494","IA","MI",250,2.5,"250 days shared in 2020"
"495","IA","MN",225,2.25,"225 days shared in 2020"
"496","IA","MO",84,0.84,"84 days shared in 2020"
"497","IA","MS",272,2.72,"272 days shared in 2020"
"498","IA","MT",286,2.86,"286 days shared in 2020"
"499","IA","NC",271,2.71,"271 days shared in 2020"
"500","IA","ND",111,1.11,"111 days shared in 2020"
"501","IA","NE",229,2.29,"229 days shared in 2020"
"502","IA","NH",274,2.74,"274 days shared in 2020"
"503","IA","NJ",243,2.43,"243 days shared in 2020"
"504","IA","NM",247,2.47,"247 days shared in 2020"
"505","IA","NV",281,2.81,"281 days shared in 2020"
"506","IA","NY",255,2.55,"255 days shared in 2020"
"507","IA","OH",276,2.76,"276 days shared in 2020"
"508","IA","OK",284,2.84,"284 days shared in 2020"
"509","IA","OR",263,2.63,"263 days shared in 2020"
"510","IA","PA",255,2.55,"255 days shared in 2020"
"511","IA","RI",284,2.84,"284 days shared in 2020"
"512","IA","SC",288,2.88,"288 days shared in 2020"
"513","IA","SD",2,0.02,"2 days shared in 2020"
"514","IA","TN",37,0.37,"37 days shared in 2020"
